file,visual_kmeans_lables,id
yga0721-20250806115252-1380261233365490,6,yga0721
yga0721-20250807022618-751080864325860,6,yga0721
yga0721-20250807001910-1405927801032612,6,yga0721
yga0721-20250807004046-1209805667525406,5,yga0721
yga0721-20250821133159-896951252717299,7,yga0721
yga0721-20250821123310-1206568468289055,5,yga0721
yga0721-20250812021958-1244855834282428,3,yga0721
yga0721-20251030161700-924138466826823,5,yga0721
yga0721-20250813172207-1930190404243851,5,yga0721
yga0721-20250814075453-1310205954200438,5,yga0721
yga0721-20250815001530-1555000902224470,6,yga0721
yga0721-20250816165830-781014501072898,5,yga0721
yga0721-20250815212818-1254296250142147,3,yga0721
yga0721-20251119071610-952752077924332,5,yga0721
yga0721-20250819065659-2302485320274289,3,yga0721
yga0721-20250818233149-4240028686249942,3,yga0721
yga0721-20250821225202-902713689074892,6,yga0721
yga0721-20250821202113-1810293213017862,5,yga0721
yga0721-20250822234919-1441649583984325,6,yga0721
yga0721-20250823143407-1852784162070780,5,yga0721
yga0721-20250828230651-1413473406899447,7,yga0721
yga0721-20250826224319-1569044451047267,6,yga0721
yga0721-20250913095540-1221745036716562,5,yga0721
yga0721-20250831153124-1617152479473683,5,yga0721
yga0721-20250829232008-2094510238056050,6,yga0721
yga0721-20250901144331-1166295868722580,3,yga0721
yga0721-20250901153505-1727749354874830,5,yga0721
yga0721-20250903125607-893272263061223,5,yga0721
yga0721-20250903204804-1241542274066298,3,yga0721
yga0721-20250904064433-1184984440075240,2,yga0721
yga0721-20250921231110-1670501744110809,5,yga0721
yga0721-20250910111103-1431321738604586,1,yga0721
yga0721-20250920212153-1350077320140330,5,yga0721
yga0721-20250923213751-1607174237144404,3,yga0721
yga0721-20250913013718-1208344100967893,3,yga0721
yga0721-20250912230145-1427336525769340,5,yga0721
yga0721-20250913225418-1629294755090706,6,yga0721
yga0721-20250915014718-1170732085262688,2,yga0721
yga0721-20250916142353-883959514446516,6,yga0721
yga0721-20250915075121-1621352925689269,6,yga0721
yga0721-20250918230008-26284463754516718,7,yga0721
yga0721-20250922001009-874367475382317,5,yga0721
yga0721-20250923063255-1430546525083768,6,yga0721
yga0721-20250919221230-1575256410196989,6,yga0721
yga0721-20251005000011-25663415836673157,2,yga0721
yga0721-20250920171009-911241658091966,5,yga0721
yga0721-20250922005915-952776591258688,5,yga0721
yga0721-20250923002750-1467248254821313,6,yga0721
yga0721-20251025113734-930454055982757,2,yga0721
yga0721-20250924230728-762949649739521,6,yga0721
yga0721-20250924171048-898299793182730,6,yga0721
yga0721-20250926211036-1610278453435012,6,yga0721
yga0721-20250926164007-1295657652387762,5,yga0721
yga0721-20250926225007-1436545851145528,6,yga0721
yga0721-20250929203643-888537130816060,2,yga0721
yga0721-20251001123008-1259792386045014,6,yga0721
yga0721-20250929220530-1231710498457038,5,yga0721
yga0721-20251002081920-1402457637767487,3,yga0721
yga0721-20251003232011-770920818844188,6,yga0721
yga0721-20251005235009-912475701269964,6,yga0721
yga0721-20251004033131-1241637944603884,5,yga0721
yga0721-20251004173136-870885275816547,1,yga0721
yga0721-20251005062007-1258879526128023,6,yga0721
yga0721-20251005033339-1215004676874657,3,yga0721
yga0721-20251008142628-1633075711162998,7,yga0721
yga0721-20251007120219-1463066038564887,5,yga0721
yga0721-20251219132941-1395115728766267,2,yga0721
yga0721-20251026174128-1417237203128930,5,yga0721
yga0721-20251015152341-1977315292881961,5,yga0721
yga0721-20251013134148-1230822015911894,2,yga0721
yga0721-20251013181532-2918936331636927,6,yga0721
yga0721-20251013220230-1982871065977263,5,yga0721
yga0721-20251028044341-2037107243499059,5,yga0721
yga0721-20251020184050-793817099642908,3,yga0721
yga0721-20251019210620-1271148154894870,5,yga0721
yga0721-20251021212502-1604429480868716,5,yga0721
yga0721-20251024170605-2324710218035497,6,yga0721
yga0721-20251027194711-895231589776484,6,yga0721
yga0721-20251027183210-1330034808992419,3,yga0721
yga0721-20251029195112-878431134935680,6,yga0721
yga0721-20251025212720-1468770235251102,6,yga0721
yga0721-20251107225048-906259018469448,5,yga0721
yga0721-20251030082545-1390800325428057,6,yga0721
yga0721-20251110160459-1944668653073218,3,yga0721
yga0721-20251102004006-1856399112429830,5,yga0721
yga0721-20251103134007-2076356776463976,5,yga0721
yga0721-20251230170914-4279743012282492,6,yga0721
yga0721-20251101224010-2349571305557691,3,yga0721
yga0721-20251105141132-1749265679740397,6,yga0721
yga0721-20251107105235-1484062010102127,3,yga0721
yga0721-20251110180226-1442817130533518,6,yga0721
yga0721-20251109075012-934799999001691,5,yga0721
yga0721-20251108215144-1231917712375400,6,yga0721
yga0721-20251111222122-1231051391878533,5,yga0721
yga0721-20251217043350-1233832744779558,5,yga0721
yga0721-20251114222751-770071272263581,6,yga0721
yga0721-20251112002812-1289568972998605,6,yga0721
yga0721-20251113003402-883393160973767,5,yga0721
yga0721-20251114091621-897985266289452,5,yga0721
yga0721-20251115010349-3916688691794742,3,yga0721
yga0721-20251119012032-25000874799588003,5,yga0721
yga0721-20251116230817-889844317086249,6,yga0721
yga0721-20251121115711-25702245019444404,2,yga0721
yga0721-20251123112330-2413746975762517,6,yga0721
yga0721-20251120083522-1830806040963339,7,yga0721
yga0721-20251123201658-1103403578516043,5,yga0721
yga0721-20251124010648-2020431305179618,6,yga0721
yga0721-20251121183951-881058141560939,6,yga0721
yga0721-20251122175320-908145291665225,6,yga0721
yga0721-20251123014917-4202779930037469,6,yga0721
yga0721-20251127121138-25954590340844321,6,yga0721
yga0721-20251128121013-1520198965737348,3,yga0721
yga0721-20251203093825-1576670590043687,6,yga0721
yga0721-20251203101259-914368751131135,6,yga0721
yga0721-20251130232208-902750299379297,6,yga0721
yga0721-20251202002633-33601574882824513,2,yga0721
yga0721-20251217225311-880000134808416,1,yga0721
yga0721-20251206124533-2108353243251187,5,yga0721
yga0721-20251210181837-1569399874752746,6,yga0721
yga0721-20251211180534-4151068018482156,5,yga0721
yga0721-20251211125753-850235071349349,6,yga0721
yga0721-20260105133011-1428873152152798,5,yga0721
yga0721-20260112165506-2285579158635869,5,yga0721
yga0721-20251214001653-1290660226232574,3,yga0721
yga0721-20251215025005-904453225307296,3,yga0721
yga0721-20251218175206-1535738550829568,6,yga0721
yga0721-20251216155007-1480388660174522,3,yga0721
yga0721-20251213155313-2162735321141783,5,yga0721
yga0721-20251213233045-4209727592582245,6,yga0721
yga0721-20251219124958-1600594337760244,3,yga0721
yga0721-20251219224246-1168996938389995,6,yga0721
yga0721-20251220133505-2118955115558839,6,yga0721
yga0721-20251220195159-1170335291631701,5,yga0721
yga0721-20251217071122-1228634392093358,6,yga0721
yga0721-20251218010935-913042027842569,7,yga0721
yga0721-20251222191315-1248366127179217,6,yga0721
yga0721-20251223182603-1397173558679059,5,yga0721
yga0721-20251219154148-906750758977035,6,yga0721
yga0721-20260115185959-1390835428968362,5,yga0721
yga0721-20251220233011-1081256524141291,5,yga0721
yga0721-20251227165935-900966278990463,5,yga0721
yga0721-20260130145130-4198996967083350,6,yga0721
yga0721-20251229124936-1438014254336388,5,yga0721
yga0721-20260107161531-4441482986177074,5,yga0721
yga0721-20251227013219-866842332816818,6,yga0721
yga0721-20251231161916-2305917603165964,5,yga0721
yga0721-20251228091903-1663189805062050,6,yga0721
yga0721-20260101195510-3164525497041991,5,yga0721
yga0721-20251231002329-1580672813253563,6,yga0721
achusan0817-20250522071346-1427164119064164,6,achusan0817
achusan0817-20250204172645-1588158132412448,5,achusan0817
achusan0817-20250802181312-1930533867546917,6,achusan0817
achusan0817-20250803080020-25716524344622646,5,achusan0817
achusan0817-20250217194630-1227889482773274,6,achusan0817
achusan0817-20250404122027-25659963616959712,5,achusan0817
achusan0817-20250905220623-679764201820887,6,achusan0817
achusan0817-20250724160215-1527634674965258,6,achusan0817
achusan0817-20250717105820-836789582667721,2,achusan0817
achusan0817-20250806155403-882627378029897,6,achusan0817
achusan0817-20250804185510-775133925642645,6,achusan0817
achusan0817-20250702080721-33631434833138912,6,achusan0817
achusan0817-20250804014139-1702890164455275,6,achusan0817
achusan0817-20250803093020-2787484758266371,6,achusan0817
achusan0817-20260121110932-1449050630347015,6,achusan0817
achusan0817-20260107223423-1208897204751598,6,achusan0817
achusan0817-20250725044105-1408172037450523,6,achusan0817
achusan0817-20250807010822-771372086008052,3,achusan0817
achusan0817-20250721225935-1090147769904319,6,achusan0817
achusan0817-20250806004714-1228257948703376,6,achusan0817
achusan0817-20250914103407-1656415559010516,6,achusan0817
achusan0817-20250803191406-1231461265598463,6,achusan0817
achusan0817-20250807022936-1430880395294793,6,achusan0817
achusan0817-20250811123419-1349577523605812,5,achusan0817
achusan0817-20250807041655-895116943103300,5,achusan0817
achusan0817-20250810112126-795646443566937,5,achusan0817
achusan0817-20250815181112-2389904224795173,6,achusan0817
achusan0817-20250818214149-1239658971602443,6,achusan0817
achusan0817-20250826151240-1605862287318959,6,achusan0817
achusan0817-20250901192923-1600821540942041,6,achusan0817
achusan0817-20250920201247-1439062357802345,6,achusan0817
achusan0817-20250918135536-1330587915773020,6,achusan0817
achusan0817-20250921153559-1381876039900474,6,achusan0817
achusan0817-20250925133654-922015633603430,6,achusan0817
achusan0817-20250930210312-1876911423014804,6,achusan0817
achusan0817-20251005165330-1371097751458784,6,achusan0817
achusan0817-20251016181100-1527070421734299,6,achusan0817
achusan0817-20251020041127-1416078949964131,6,achusan0817
achusan0817-20251018190031-25647401174887427,6,achusan0817
achusan0817-20251021205011-929267202828667,6,achusan0817
achusan0817-20260118190514-829402533445981,6,achusan0817
achusan0817-20251031174007-1428620308957643,6,achusan0817
achusan0817-20251103194117-1290363346481779,6,achusan0817
achusan0817-20251103180233-2073119686811894,6,achusan0817
achusan0817-20251114214552-1208312338051365,6,achusan0817
achusan0817-20251121181006-1291112863068477,6,achusan0817
achusan0817-20251121020353-1166937888848855,6,achusan0817
achusan0817-20251122202947-1550447156212193,6,achusan0817
achusan0817-20251201222753-1522640228811404,6,achusan0817
achusan0817-20251208075547-1514350370109742,6,achusan0817
achusan0817-20251210194800-1194464255774484,6,achusan0817
achusan0817-20251226220205-1981962749032820,6,achusan0817
achusan0817-20260102024041-908347338342616,6,achusan0817
602avenue-20250710170713-2159436944811930,3,602avenue
602avenue-20250629180741-934671635776580,3,602avenue
602avenue-20250828221048-1971490927580251,7,602avenue
602avenue-20250513145122-944323957950761,3,602avenue
602avenue-20250607102625-1849403705754123,3,602avenue
602avenue-20260219004708-3415625351910325,3,602avenue
602avenue-20250916121005-1196589175797791,3,602avenue
602avenue-20260111140247-2364843953997562,5,602avenue
602avenue-20250714164523-936684499042263,3,602avenue
602avenue-20250829135501-940225325005093,3,602avenue
602avenue-20260120230402-1975309876744182,3,602avenue
