file,audio_kmeans_lables,id
1105ya-20250829030521-700054986408626,1,1105ya
1105ya-20250829115428-869083875942162,2,1105ya
1105ya-20250829175101-1613188076665671,1,1105ya
1105ya-20250829212236-1440134724367177,1,1105ya
1105ya-20250830111700-2519538425131477,1,1105ya
1105ya-20250831121604-1218264339884809,1,1105ya
1105ya-20250831143432-775484275597330,1,1105ya
1105ya-20250901165048-1899400594282538,1,1105ya
1105ya-20250902203355-1646219163214578,1,1105ya
1105ya-20250902222940-2456739304781420,1,1105ya
1105ya-20250903053214-1229684089111072,1,1105ya
1105ya-20250903083049-1218613959792468,2,1105ya
1105ya-20250903181653-3973630742771106,2,1105ya
1105ya-20250905121836-1983826802342353,1,1105ya
1105ya-20250905144921-884705357655396,1,1105ya
1105ya-20250907204621-1550108872908484,2,1105ya
1105ya-20250908023146-1398687445287580,1,1105ya
1105ya-20250909075324-4234063073589833,1,1105ya
1105ya-20250909075605-1937957040180651,2,1105ya
1105ya-20250910070651-1217450390510654,1,1105ya
1105ya-20250910120223-1653899725771758,0,1105ya
1105ya-20250910224846-924709870093623,2,1105ya
1105ya-20250910230147-1618763192470106,1,1105ya
1105ya-20250911010834-1656243595532696,1,1105ya
1105ya-20250911140315-1567675661205768,1,1105ya
1105ya-20250914014233-1274922568022597,2,1105ya
1105ya-20250914014237-2170304330167185,2,1105ya
1105ya-20250914014256-795467426901201,2,1105ya
1105ya-20250914014302-1443095464136788,1,1105ya
1105ya-20250916092731-2583810912006172,2,1105ya
1105ya-20250916191403-835705579492700,2,1105ya
1105ya-20250919030108-1980894066110725,2,1105ya
1105ya-20250920080236-26034497262854199,2,1105ya
1105ya-20250920110415-1179882340883880,2,1105ya
1105ya-20250921004453-2038110270313558,2,1105ya
1105ya-20250928041621-886087261008165,2,1105ya
1105ya-20250928064247-1387422045877281,2,1105ya
1105ya-20250930035612-1462615345650273,2,1105ya
1105ya-20250930074351-1406900377176047,2,1105ya
1105ya-20251001171746-762010323199994,0,1105ya
1105ya-20251001214106-1408840687604944,1,1105ya
1105ya-20251001230326-1631583707835760,1,1105ya
1105ya-20251001230713-1646856689814350,1,1105ya
1105ya-20251003214727-1345314554292480,2,1105ya
1105ya-20251004130703-892515223675555,1,1105ya
1105ya-20251012232655-1513390196427490,2,1105ya
1105ya-20251015130223-2455957628152540,0,1105ya
1105ya-20251018025404-1122073739930786,1,1105ya
1105ya-20251019215607-865439526358622,1,1105ya
1105ya-20251020235725-1648246206533094,1,1105ya
1105ya-20251021010119-2256077158249615,1,1105ya
1105ya-20251022121202-896375773094901,1,1105ya
1105ya-20251023190632-2656717484687271,0,1105ya
1105ya-20251024041333-1452166846243778,2,1105ya
1105ya-20251024111645-872923275369990,1,1105ya
1105ya-20251024140938-1416217906626717,1,1105ya
1105ya-20251024234443-898432742912488,1,1105ya
1105ya-20251103004332-2829195473950792,1,1105ya
1105ya-20251105070039-1187540513366525,1,1105ya
1105ya-20251106125011-1596969351332173,1,1105ya
1105ya-20251113000429-2094838967997137,0,1105ya
1105ya-20251116015627-2436950610092869,0,1105ya
1105ya-20251120083956-1134933421918982,2,1105ya
1105ya-20251120182503-1529386141498084,1,1105ya
1105ya-20251120182509-916833134205733,2,1105ya
1105ya-20251120220424-1257553352904716,0,1105ya
1105ya-20251121155633-744039228448548,2,1105ya
1105ya-20251125132205-1246768887377193,0,1105ya
1105ya-20251129000616-1605282657446488,0,1105ya
1105ya-20251129054115-871201869079644,1,1105ya
1105ya-20251201103017-2332771807190680,1,1105ya
1105ya-20251203002108-1634108481271748,1,1105ya
1105ya-20251210161231-1344347700712929,1,1105ya
1105ya-20251212035404-903658382380830,0,1105ya
1105ya-20251216013549-1945503152981989,1,1105ya
1105ya-20251228152249-899852382529237,2,1105ya
1105ya-20251231002302-1647560746410457,1,1105ya
1105ya-20260107210133-919314310627784,2,1105ya
1105ya-20260108065749-25902971159356733,0,1105ya
1105ya-20260109175625-1238366958224832,2,1105ya
1105ya-20260109175655-2901444280045006,1,1105ya
1105ya-20260109175755-786783353764646,1,1105ya
1105ya-20260109175818-857988380393777,2,1105ya
1105ya-20260115011453-1554238569115725,1,1105ya
1105ya-20260121145556-788785637587215,2,1105ya
1105ya-20260125190714-2095338547882007,0,1105ya
1105ya-20260125190728-26175467768717855,0,1105ya
1105ya-20260217025548-870457129087046,1,1105ya
1105ya-20260220195258-1659332422103881,0,1105ya
1105ya-20260222125532-2390647874682943,1,1105ya
1105ya-20260222125556-1228880172514368,2,1105ya
1105ya-20260222125631-908045185486738,1,1105ya
1_shiuan_0-20250210220127-1342837684338867,0,1_shiuan_0
1_shiuan_0-20250306112922-1616047336094765,2,1_shiuan_0
1_shiuan_0-20250306115638-1207448171158988,1,1_shiuan_0
1_shiuan_0-20250322232049-1465494418538272,1,1_shiuan_0
1_shiuan_0-20250421202629-2687315468296859,0,1_shiuan_0
1_shiuan_0-20250430032724-1440046200497385,1,1_shiuan_0
1_shiuan_0-20250501131804-1274924217894861,1,1_shiuan_0
1_shiuan_0-20250503204241-2427037127746822,3,1_shiuan_0
1_shiuan_0-20250508231430-919222237179634,0,1_shiuan_0
1_shiuan_0-20250514230335-1240091294259615,1,1_shiuan_0
1_shiuan_0-20250515134210-1720253395613999,0,1_shiuan_0
1_shiuan_0-20250524075657-885671970962180,2,1_shiuan_0
1_shiuan_0-20250528101132-1435838371557164,1,1_shiuan_0
1_shiuan_0-20250529221154-902884562460439,0,1_shiuan_0
1_shiuan_0-20250603191150-1462808622128281,1,1_shiuan_0
1_shiuan_0-20250611040451-1315058573837729,1,1_shiuan_0
1_shiuan_0-20250620142526-1239879777580553,0,1_shiuan_0
1_shiuan_0-20250627155722-1542291976855907,0,1_shiuan_0
1_shiuan_0-20250702001126-1224088496479821,1,1_shiuan_0
1_shiuan_0-20250709191133-1237298295176250,0,1_shiuan_0
1_shiuan_0-20250725095929-1381808073631882,0,1_shiuan_0
1_shiuan_0-20250725165653-940045021793485,3,1_shiuan_0
1_shiuan_0-20250726141315-26178128908542191,2,1_shiuan_0
1_shiuan_0-20250801232045-945531841465081,0,1_shiuan_0
1_shiuan_0-20250802182902-2796304210702098,0,1_shiuan_0
1_shiuan_0-20250803132829-926328520127472,3,1_shiuan_0
1_shiuan_0-20250804212136-25744984575173964,0,1_shiuan_0
1_shiuan_0-20250805015317-2174927429922802,3,1_shiuan_0
