file,visual_kmeans_lables,id
1006nk-20250806164729-2377809735984208,4,1006nk
1006nk-20250806164822-907275051997884,2,1006nk
1006nk-20250806193228-1188590960100121,4,1006nk
1006nk-20250806230849-4291712384422024,3,1006nk
1006nk-20250806231748-2125237224910080,4,1006nk
1006nk-20250807002136-751616990930632,2,1006nk
1006nk-20250808201506-1560748061875188,5,1006nk
1006nk-20250812221608-895304369811956,4,1006nk
1006nk-20250814211406-884731457790664,5,1006nk
1006nk-20250822011624-793028009729347,5,1006nk
1006nk-20250823172848-33537812529199357,5,1006nk
1006nk-20250828161539-1322475206306121,4,1006nk
1006nk-20250830002246-2332500807259109,3,1006nk
1006nk-20250830093215-1189492193331366,2,1006nk
1006nk-20250901001203-1584467396197299,4,1006nk
1006nk-20250902003648-1600124847855902,4,1006nk
1006nk-20250904222359-1999069927355974,4,1006nk
1006nk-20250905054342-1806711990026427,4,1006nk
1006nk-20250905232634-1427642232333162,2,1006nk
1006nk-20250907035446-901824739051041,3,1006nk
1006nk-20250908003048-4331866666959356,4,1006nk
1006nk-20250909141135-1446950427019431,4,1006nk
1006nk-20250914153900-1265551472331405,4,1006nk
1006nk-20250915142338-1688951052268510,2,1006nk
1006nk-20250915173234-1094656349465398,4,1006nk
1006nk-20250917010151-730120073315495,2,1006nk
1006nk-20250924170413-1234244638841594,5,1006nk
1006nk-20250924210923-4306490176344927,5,1006nk
1006nk-20250926171916-865288543074830,4,1006nk
1006nk-20250927154201-2117277412348727,2,1006nk
1006nk-20250927204013-1835435583781577,3,1006nk
1006nk-20251003193346-2097279797479793,4,1006nk
1006nk-20251005223016-1574453037155045,4,1006nk
1006nk-20251007061545-1226914756233005,4,1006nk
1006nk-20251012220720-4255082251445947,4,1006nk
1006nk-20251014080620-1696626787980449,4,1006nk
1006nk-20251015231114-2580243449013542,6,1006nk
1006nk-20251017154854-1160323115981837,4,1006nk
1006nk-20251017192051-1400456081011464,4,1006nk
1006nk-20251022124742-896294849465141,4,1006nk
1006nk-20251022131802-1900622570541947,5,1006nk
1006nk-20251024101045-831306886624901,2,1006nk
1006nk-20251024200522-1847926022522686,5,1006nk
1006nk-20251027125916-2393398924414676,5,1006nk
1006nk-20251101213224-1446500243503981,4,1006nk
1006nk-20251107084954-1262834805751359,4,1006nk
1006nk-20251108200052-892149686505791,5,1006nk
1006nk-20251108215234-919959003932896,4,1006nk
1006nk-20251111005328-1703169604006555,3,1006nk
1006nk-20251111203034-804898969278990,5,1006nk
1006nk-20251113095958-1937294973806632,4,1006nk
1006nk-20251119015902-1452996139895034,4,1006nk
1006nk-20251122042426-2456639834854843,2,1006nk
1006nk-20251122234803-2710582509277294,4,1006nk
1006nk-20251127165036-1283136540540444,2,1006nk
1006nk-20251128182759-1367703128439280,5,1006nk
1006nk-20251128230256-1688261629219237,2,1006nk
1006nk-20251201180734-895873283619821,5,1006nk
1006nk-20251203215836-1296575912318800,4,1006nk
1006nk-20251205112240-1565377891356012,3,1006nk
1006nk-20251205113250-2544821959245330,3,1006nk
1006nk-20251216211129-1599566644664786,5,1006nk
1006nk-20251219133900-1432665035252834,5,1006nk
1006nk-20251224132853-1903391480334623,5,1006nk
1006nk-20251225222949-1719001442407665,5,1006nk
1006nk-20251227001826-1463635432428997,2,1006nk
1006nk-20260103155017-1189485299966414,4,1006nk
1006nk-20260103192533-750920648090312,4,1006nk
1006nk-20260105013340-828469766911852,5,1006nk
1006nk-20260106024542-2337043830093362,2,1006nk
1006nk-20260106144306-1408875870179093,4,1006nk
1006nk-20260107145928-872282892356650,4,1006nk
1006nk-20260116100327-1260354215986402,3,1006nk
1006nk-20260121100312-1447889246900752,4,1006nk
1006nk-20260124004338-4201980690052049,3,1006nk
1006nk-20260125195823-897509772688194,4,1006nk
1105ya-20250209040510-938429325310910,2,1105ya
1105ya-20250306202217-4372884809697373,2,1105ya
1105ya-20250416123615-1868548027112934,1,1105ya
1105ya-20250423150605-757960347352602,1,1105ya
1105ya-20250423170214-25954865170809540,2,1105ya
1105ya-20250424083704-1460453455503005,1,1105ya
1105ya-20250424103804-2107309306761698,2,1105ya
1105ya-20250427191246-898834839554759,0,1105ya
1105ya-20250528012539-1967870180434703,2,1105ya
1105ya-20250530013117-1363330722233207,2,1105ya
1105ya-20250628113358-1675954567111168,3,1105ya
1105ya-20250706092930-904139819014014,2,1105ya
1105ya-20250707094130-1069584905327516,2,1105ya
1105ya-20250712150211-1613714039660149,1,1105ya
1105ya-20250805161553-1427417412379006,2,1105ya
1105ya-20250824224925-1445514200610592,3,1105ya
1105ya-20250828140947-3163617273820923,2,1105ya
1105ya-20250829030521-700054986408626,2,1105ya
1105ya-20250829115428-869083875942162,3,1105ya
1105ya-20250829175101-1613188076665671,2,1105ya
1105ya-20250829212236-1440134724367177,2,1105ya
1105ya-20250830111700-2519538425131477,2,1105ya
1105ya-20250831121604-1218264339884809,2,1105ya
1105ya-20250831143432-775484275597330,1,1105ya
1105ya-20250901165048-1899400594282538,2,1105ya
1105ya-20250902203355-1646219163214578,2,1105ya
1105ya-20250902222940-2456739304781420,1,1105ya
1105ya-20250903053214-1229684089111072,1,1105ya
1105ya-20250903083049-1218613959792468,1,1105ya
1105ya-20250903181653-3973630742771106,2,1105ya
1105ya-20250905121836-1983826802342353,2,1105ya
1105ya-20250905144921-884705357655396,2,1105ya
1105ya-20250907204621-1550108872908484,1,1105ya
1105ya-20250908023146-1398687445287580,2,1105ya
1105ya-20250909075324-4234063073589833,2,1105ya
1105ya-20250909075605-1937957040180651,3,1105ya
1105ya-20250910070651-1217450390510654,2,1105ya
1105ya-20250910120223-1653899725771758,1,1105ya
1105ya-20250910224846-924709870093623,1,1105ya
1105ya-20250910230147-1618763192470106,2,1105ya
1105ya-20250911010834-1656243595532696,2,1105ya
1105ya-20250911140315-1567675661205768,2,1105ya
1105ya-20250914014233-1274922568022597,2,1105ya
1105ya-20250914014237-2170304330167185,1,1105ya
1105ya-20250914014256-795467426901201,1,1105ya
